#  SN  PRN   Hour          X[km]         Y[km]          Z[km]           T[Ms]
# ===  ===  =====  =============  =============  =============  =============
    1  G10   0.00  -16365.314209  -11665.425715   17531.212402      -0.105668
    2  G10   0.25  -15695.630344  -11737.214553   18082.826930      -0.109808
    3  G10   0.50  -15007.196620  -11822.133169   18600.234876      -0.113931
    4  G10   0.75  -14301.565846  -11920.840962   19082.446317      -0.118072
    5  G10   1.00  -13580.342261  -12033.908146   19528.536520      -0.122174
    6  G10   1.25  -12845.175445  -12161.812789   19937.647711      -0.126296
    7  G10   1.50  -12097.754022  -12304.938270   20308.990745      -0.130415
    8  G10   1.75  -11339.799223  -12463.571128   20641.846652      -0.134531
    9  G10   2.00  -10573.058290  -12637.899341   20935.568073      -0.138634
   10  G10   2.25   -9799.297796  -12828.011025   21189.580566      -0.142772
   11  G10   2.50   -9020.296860  -13033.893577   21403.383798      -0.146884
   12  G10   2.75   -8237.840323  -13255.433245   21576.552597      -0.151010
   13  G10   3.00   -7453.711896  -13492.415152   21708.737887      -0.155121
   14  G10   3.25   -6669.687296  -13744.523752   21799.667484      -0.159253
   15  G10   3.50   -5887.527442  -14011.343737   21849.146755      -0.163237
   16  G10   3.75   -5108.971667  -14292.361387   21857.059148      -0.167361
   17  G10   4.00   -4335.731060  -14586.966340   21823.366576      -0.171476
   18  G10   4.25   -3569.481885  -14894.453819   21748.109660      -0.175615
   19  G10   4.50   -2811.859175  -15214.027253   21631.407838      -0.179740
   20  G10   4.75   -2064.450468  -15544.801334   21473.459314      -0.183844
   21  G10   5.00   -1328.789749  -15885.805462   21274.540879      -0.187985
   22  G10   5.25    -606.351628  -16235.987586   21035.007574      -0.192088
   23  G10   5.50     101.454268  -16594.218414   20755.292204      -0.196213
   24  G10   5.75     793.288594  -16959.295981   20435.904717      -0.200317
   25  G10   6.00    1467.887329  -17329.950562   20077.431419      -0.204393
   26  G10   6.25    2124.066464  -17704.849892   19680.534049      -0.208524
   27  G10   6.50    2760.726395  -18082.604702   19245.948703      -0.212640
   28  G10   6.75    3376.855910  -18461.774508   18774.484617      -0.216758
   29  G10   7.00    3971.535851  -18840.873674   18267.022787      -0.220874
   30  G10   7.25    4543.942348  -19218.377687   17724.514462      -0.224986
   31  G10   7.50    5093.349660  -19592.729636   17147.979482      -0.229083
   32  G10   7.75    5619.132601  -19962.346865   16538.504471      -0.233206
   33  G10   8.00    6120.768519  -20325.627771   15897.240902      -0.237335
   34  G10   8.25    6597.838855  -20680.958713   15225.403010      -0.241435
   35  G10   8.50    7050.030228  -21026.721012   14524.265580      -0.245543
   36  G10   8.75    7477.135088  -21361.298001   13795.161599      -0.249724
   37  G10   9.00    7879.051889  -21683.082103   13039.479785      -0.253835
   38  G10   9.25    8255.784819  -21990.481901   12258.661980      -0.257935
   39  G10   9.50    8607.443055  -22281.929166   11454.200440      -0.262066
   40  G10   9.75    8934.239563  -22555.885824   10627.635005      -0.266170
   41  G10  10.00    9236.489450  -22810.850810    9780.550143      -0.270282
   42  G10  10.25    9514.607853  -23045.366806    8914.571923      -0.274397
   43  G10  10.50    9769.107410  -23258.026801    8031.364851      -0.278458
   44  G10  10.75   10000.595269  -23447.480469    7132.628654      -0.282611
   45  G10  11.00   10209.769717  -23612.440325    6220.094940      -0.286727
   46  G10  11.25   10397.416376  -23751.687627    5295.523814      -0.290856
   47  G10  11.50   10564.404030  -23864.078006    4360.700395      -0.294956
   48  G10  11.75   10711.680077  -23948.546791    3417.431285      -0.299059
   49  G10  12.00   10840.265630  -24004.114005    2467.540985      -0.303162
   50  G10  12.25   10951.250304  -24029.889013    1512.868240      -0.307286
   51  G10  12.50   11045.786680  -24025.074800     555.262377      -0.311415
   52  G10  12.75   11125.084511  -23988.971840    -403.420423      -0.315538
   53  G10  13.00   11190.404659  -23920.981579   -1361.320845      -0.319696
   54  G10  13.25   11243.052820  -23820.609465   -2316.580203      -0.323835
   55  G10  13.50   11284.373042  -23687.467555   -3267.344180      -0.327954
   56  G10  13.75   11315.741083  -23521.276652   -4211.766596      -0.332053
   57  G10  14.00   11338.557626  -23321.867986   -5148.013141      -0.336159
   58  G10  14.25   11354.241397  -23089.184416   -6074.265086      -0.340233
   59  G10  14.50   11364.222199  -22823.281151   -6988.722994      -0.344308
   60  G10  14.75   11369.933909  -22524.325999   -7889.610350      -0.348387
   61  G10  15.00   11372.807472  -22192.599106   -8775.177185      -0.352448
   62  G10  15.25   11374.263896  -21828.492244   -9643.703609      -0.356519
   63  G10  15.50   11375.707331  -21432.507582  -10493.503315      -0.360557
   64  G10  15.75   11378.518205  -21005.256010  -11322.926970      -0.364606
   65  G10  16.00   11384.046498  -20547.454967  -12130.365570      -0.368672
   66  G10  16.25   11393.605157  -20059.925837  -12914.253670      -0.372744
   67  G10  16.50   11408.463689  -19543.590882  -13673.072538      -0.376825
   68  G10  16.75   11429.841968  -18999.469737  -14405.353207      -0.380933
   69  G10  17.00   11458.904270  -18428.675513  -15109.679403      -0.385042
   70  G10  17.25   11496.753580  -17832.410460  -15784.690375      -0.389129
   71  G10  17.50   11544.426180  -17211.961297  -16429.083585      -0.393228
   72  G10  17.75   11602.886561  -16568.694139  -17041.617286      -0.397344
   73  G10  18.00   11673.022661  -15904.049129  -17621.112950      -0.401445
   74  G10  18.25   11755.641469  -15219.534722  -18166.457572      -0.405559
   75  G10  18.50   11851.465004  -14516.721715  -18676.605821      -0.409656
   76  G10  18.75   11961.126684  -13797.237007  -19150.582045      -0.413758
   77  G10  19.00   12085.168119  -13062.757122  -19587.482128      -0.417872
   78  G10  19.25   12224.036312  -12315.001551  -19986.475188      -0.422009
   79  G10  19.50   12378.081314  -11555.725899  -20346.805120      -0.426140
   80  G10  19.75   12547.554308  -10786.714924  -20667.791975      -0.430242
   81  G10  20.00   12732.606165  -10009.775432  -20948.833184      -0.434368
   82  G10  20.25   12933.286446   -9226.729131  -21189.404610      -0.438498
   83  G10  20.50   13149.542874   -8439.405410  -21389.061439      -0.442609
   84  G10  20.75   13381.221269   -7649.634122  -21547.438906      -0.446750
   85  G10  21.00   13628.065941   -6859.238392  -21664.252854      -0.450882
   86  G10  21.25   13889.720562   -6070.027446  -21739.300126      -0.455011
   87  G10  21.50   14165.729467   -5283.789559  -21772.458792      -0.459137
   88  G10  21.75   14455.539427   -4502.285082  -21763.688215      -0.463249
   89  G10  22.00   14758.501848   -3727.239635  -21713.028945      -0.467381
   90  G10  22.25   15073.875410   -2960.337449  -21620.602462      -0.471486
   91  G10  22.50   15400.829107   -2203.214936  -21486.610755      -0.475610
   92  G10  22.75   15738.445702   -1457.454448  -21311.335736      -0.479734
   93  G10  23.00   16085.725566    -724.578317  -21095.138512      -0.483859
   94  G10  23.25   16441.590873      -6.043169  -20838.458498      -0.487973
   95  G10  23.50   16804.890159     696.765484  -20541.812378      -0.492103
   96  G10  23.75   17174.403193    1382.538299  -20205.792932      -0.496223
   97  G10  24.00   17548.846168    2050.046841  -19831.067705      -0.500352
   98  G10  24.25   17926.877158    2698.147937  -19418.377558      -0.504475
   99  G10  24.50   18307.101850    3325.787685  -18968.535060      -0.508730
  100  G10  24.75   18688.079486    3932.005019  -18482.422781      -0.512879
  101  G10  25.00   19068.329034    4515.934918  -17960.991435      -0.516998
  102  G10  25.25   19446.335520    5076.811165  -17405.257910      -0.521142
  103  G10  25.50   19820.556520    5613.968677  -16816.303195      -0.525257
  104  G10  25.75   20189.428770    6126.845417  -16195.270174      -0.529352
  105  G10  26.00   20551.374872    6614.983839  -15543.361338      -0.533502
  106  G10  26.25   20904.810069    7078.031903  -14861.836373      -0.537636
  107  G10  26.50   21248.149049    7515.743623  -14152.009679      -0.541758
  108  G10  26.75   21579.812764    7927.979184  -13415.247772      -0.545870
  109  G10  27.00   21898.235220    8314.704583  -12652.966629      -0.550002
  110  G10  27.25   22201.870228    8675.990853  -11866.628926      -0.554112
  111  G10  27.50   22489.198065    9012.012822  -11057.741227      -0.558217
  112  G10  27.75   22758.732038    9323.047440  -10227.851094      -0.562334
  113  G10  28.00   23009.024909    9609.471703   -9378.544125      -0.566466
  114  G10  28.25   23238.675165    9871.760123   -8511.440962      -0.570584
  115  G10  28.50   23446.333100   10110.481831   -7628.194213      -0.574703
  116  G10  28.75   23630.706686   10326.297261   -6730.485360      -0.578802
  117  G10  29.00   23790.567210   10519.954481   -5820.021601      -0.582923
  118  G10  29.25   23924.754655   10692.285143   -4898.532681      -0.587028
  119  G10  29.50   24032.182800   10844.200117   -3967.767666      -0.591159
  120  G10  29.75   24111.844021   10976.684783   -3029.491715      -0.595264
  121  G10  30.00   24162.813771   11090.794025   -2085.482833      -0.599362
  122  G10  30.25   24184.254727   11187.646961   -1137.528585      -0.603462
  123  G10  30.50   24175.420577   11268.421392    -187.422843      -0.607582
  124  G10  30.75   24135.659442   11334.348040     763.037517      -0.611670
  125  G10  31.00   24064.416918   11386.704558    1712.055871      -0.615779
  126  G10  31.25   23961.238713   11426.809375    2657.839132      -0.619888
  127  G10  31.50   23825.772894   11456.015363    3598.600994      -0.624007
  128  G10  31.75   23657.771704   11475.703390    4532.565182      -0.628125
  129  G10  32.00   23457.092968   11487.275762    5457.968666      -0.632224
  130  G10  32.25   23223.701075   11492.149578    6373.064848      -0.636331
  131  G10  32.50   22957.667515   11491.750060    7276.126726      -0.640426
  132  G10  32.75   22659.171002   11487.503830    8165.450008      -0.644527
  133  G10  33.00   22328.497144   11480.832220    9039.356205      -0.648644
  134  G10  33.25   21966.037706   11473.144597    9896.195648      -0.652763
  135  G10  33.50   21572.289414   11465.831764   10734.350493      -0.656865
  136  G10  33.75   21147.852368   11460.259430   11552.237630      -0.660961
  137  G10  34.00   20693.428008   11457.761820   12348.311566      -0.665070
  138  G10  34.25   20209.816687   11459.635403   13121.067227      -0.669216
  139  G10  34.50   19697.914848   11467.132804   13869.042695      -0.673334
  140  G10  34.75   19158.711792   11481.456902   14590.821879      -0.677449
  141  G10  35.00   18593.286093   11503.755147   15285.037096      -0.681546
  142  G10  35.25   18002.801633   11535.114117   15950.371596      -0.685665
  143  G10  35.50   17388.503308   11576.554339   16585.561970      -0.689793
  144  G10  35.75   16751.712384   11629.025400   17189.400505      -0.693919
  145  G10  36.00   16093.821568   11693.401356   17760.737414      -0.698053
  146  G10  36.25   15416.289761   11770.476475   18298.483000      -0.702151
  147  G10  36.50   14720.636561   11860.961318   18801.609697      -0.706274
  148  G10  36.75   14008.436512   11965.479180   19269.154021      -0.710374
  149  G10  37.00   13281.313119   12084.562920   19700.218416      -0.714471
  150  G10  37.25   12540.932677   12218.652156   20093.972978      -0.718612
  151  G10  37.50   11788.997909   12368.090895   20449.657080      -0.722754
  152  G10  37.75   11027.241466   12533.125544   20766.580868      -0.726886
